decision_timestamp,top3_overlap,forecast_names_changed,persistence_names_changed
2026-01-02 23:59:59.999999999+00:00,2,1.0,0.0
2026-01-09 23:59:59.999999999+00:00,2,1.0,1.0
2026-01-16 23:59:59.999999999+00:00,3,1.0,1.0
2026-01-23 23:59:59.999999999+00:00,2,1.0,1.0
2026-01-30 23:59:59.999999999+00:00,2,1.0,0.0
2026-02-06 23:59:59.999999999+00:00,3,0.0,1.0
2026-02-13 23:59:59.999999999+00:00,3,0.0,0.0
2026-02-20 23:59:59.999999999+00:00,2,1.0,0.0
2026-02-27 23:59:59.999999999+00:00,2,0.0,0.0
2026-03-06 23:59:59.999999999+00:00,2,1.0,1.0
2026-03-13 23:59:59.999999999+00:00,2,1.0,1.0
2026-03-20 23:59:59.999999999+00:00,2,1.0,1.0
2026-03-27 23:59:59.999999999+00:00,3,1.0,1.0
2026-04-03 23:59:59.999999999+00:00,3,1.0,1.0
2026-04-10 23:59:59.999999999+00:00,2,1.0,0.0
2026-04-17 23:59:59.999999999+00:00,1,2.0,1.0
2026-04-24 23:59:59.999999999+00:00,3,1.0,2.0
2026-05-01 23:59:59.999999999+00:00,3,0.0,0.0
2026-05-08 23:59:59.999999999+00:00,3,0.0,0.0
2026-05-15 23:59:59.999999999+00:00,3,0.0,0.0
2026-05-22 23:59:59.999999999+00:00,3,0.0,0.0
2026-05-29 23:59:59.999999999+00:00,2,1.0,1.0
2026-06-05 23:59:59.999999999+00:00,2,1.0,1.0
2026-06-12 23:59:59.999999999+00:00,2,1.0,1.0
2026-06-19 23:59:59.999999999+00:00,2,0.0,1.0
2026-06-26 23:59:59.999999999+00:00,2,2.0,0.0
2026-07-03 23:59:59.999999999+00:00,3,0.0,1.0
2026-07-10 23:59:59.999999999+00:00,2,0.0,1.0
2026-07-17 23:59:59.999999999+00:00,3,0.0,1.0
2026-07-24 23:59:59.999999999+00:00,3,0.0,0.0
2026-07-31 23:59:59.999999999+00:00,3,0.0,0.0
2026-08-07 23:59:59.999999999+00:00,3,0.0,0.0
2026-08-14 23:59:59.999999999+00:00,3,1.0,1.0
